SIDO,SIGUNGU,SEX_GB,AGE_GB,POPU_NUM,popu_per
경기도,,남,0,607414,0.091
경기도,,남,10,698188,0.105
경기도,,남,20,931439,0.14
경기도,,남,30,988359,0.148
경기도,,남,40,1163371,0.175
경기도,,남,50,1115137,0.167
경기도,,남,60,694626,0.104
경기도,,남,70,332647,0.05
경기도,,남,80,128814,0.019
경기도,,남,전체,6659995,1
경기도,,여,0,577576,0.088
경기도,,여,10,657274,0.1
경기도,,여,20,839256,0.128
경기도,,여,30,937468,0.142
경기도,,여,40,1126827,0.171
경기도,,여,50,1083691,0.165
경기도,,여,60,704746,0.107
경기도,,여,70,404625,0.061
경기도,,여,80,248208,0.038
경기도,,여,전체,6579671,1
경기도,,전체,0,1184990,0.09
경기도,,전체,10,1355462,0.102
경기도,,전체,20,1770695,0.134
경기도,,전체,30,1925827,0.145
경기도,,전체,40,2290198,0.173
경기도,,전체,50,2198828,0.166
경기도,,전체,60,1399372,0.106
경기도,,전체,70,737272,0.056
경기도,,전체,80,377022,0.028
경기도,,전체,전체,13239666,1
경기도,가평군,남,0,1796,0.056
경기도,가평군,남,10,2567,0.08
경기도,가평군,남,20,3490,0.109
경기도,가평군,남,30,3205,0.1
경기도,가평군,남,40,4381,0.137
경기도,가평군,남,50,6148,0.192
경기도,가평군,남,60,5793,0.181
경기도,가평군,남,70,3189,0.1
경기도,가평군,남,80,1473,0.046
경기도,가평군,남,전체,32042,1
경기도,가평군,여,0,1811,0.06
경기도,가평군,여,10,2290,0.075
경기도,가평군,여,20,2684,0.088
경기도,가평군,여,30,2787,0.092
경기도,가평군,여,40,3716,0.122
경기도,가평군,여,50,5520,0.182
경기도,가평군,여,60,5416,0.178
경기도,가평군,여,70,3604,0.119
경기도,가평군,여,80,2545,0.084
경기도,가평군,여,전체,30373,1
경기도,가평군,전체,0,3607,0.058
경기도,가평군,전체,10,4857,0.078
경기도,가평군,전체,20,6174,0.099
경기도,가평군,전체,30,5992,0.096
경기도,가평군,전체,40,8097,0.13
경기도,가평군,전체,50,11668,0.187
경기도,가평군,전체,60,11209,0.18
경기도,가평군,전체,70,6793,0.109
경기도,가평군,전체,80,4018,0.064
경기도,가평군,전체,전체,62415,1
경기도,고양시,남,0,43244,0.083
경기도,고양시,남,10,56024,0.107
경기도,고양시,남,20,76552,0.146
경기도,고양시,남,30,69908,0.134
경기도,고양시,남,40,89771,0.172
경기도,고양시,남,50,94680,0.181
경기도,고양시,남,60,54710,0.105
경기도,고양시,남,70,25573,0.049
경기도,고양시,남,80,12287,0.024
경기도,고양시,남,전체,522749,1
경기도,고양시,여,0,41569,0.076
경기도,고양시,여,10,52976,0.097
경기도,고양시,여,20,73128,0.135
경기도,고양시,여,30,71709,0.132
경기도,고양시,여,40,95749,0.176
경기도,고양시,여,50,96443,0.177
경기도,고양시,여,60,54273,0.1
경기도,고양시,여,70,34696,0.064
경기도,고양시,여,80,23059,0.042
경기도,고양시,여,전체,543602,1
경기도,고양시,전체,0,84813,0.08
경기도,고양시,전체,10,109000,0.102
경기도,고양시,전체,20,149680,0.14
경기도,고양시,전체,30,141617,0.133
경기도,고양시,전체,40,185520,0.174
경기도,고양시,전체,50,191123,0.179
경기도,고양시,전체,60,108983,0.102
경기도,고양시,전체,70,60269,0.057
경기도,고양시,전체,80,35346,0.033
경기도,고양시,전체,전체,1066351,1
경기도,고양시 덕양구,남,0,19801,0.086
경기도,고양시 덕양구,남,10,21820,0.095
경기도,고양시 덕양구,남,20,32198,0.139
경기도,고양시 덕양구,남,30,33427,0.145
경기도,고양시 덕양구,남,40,39392,0.171
경기도,고양시 덕양구,남,50,40536,0.176
경기도,고양시 덕양구,남,60,25471,0.11
경기도,고양시 덕양구,남,70,12689,0.055
경기도,고양시 덕양구,남,80,5524,0.024
경기도,고양시 덕양구,남,전체,230858,1
경기도,고양시 덕양구,여,0,19062,0.081
경기도,고양시 덕양구,여,10,20737,0.088
경기도,고양시 덕양구,여,20,30090,0.128
경기도,고양시 덕양구,여,30,32777,0.139
경기도,고양시 덕양구,여,40,38966,0.166
경기도,고양시 덕양구,여,50,40668,0.173
경기도,고양시 덕양구,여,60,25891,0.11
경기도,고양시 덕양구,여,70,16770,0.071
경기도,고양시 덕양구,여,80,10338,0.044
경기도,고양시 덕양구,여,전체,235299,1
경기도,고양시 덕양구,전체,0,38863,0.083
경기도,고양시 덕양구,전체,10,42557,0.091
경기도,고양시 덕양구,전체,20,62288,0.134
경기도,고양시 덕양구,전체,30,66204,0.142
경기도,고양시 덕양구,전체,40,78358,0.168
경기도,고양시 덕양구,전체,50,81204,0.174
경기도,고양시 덕양구,전체,60,51362,0.11
경기도,고양시 덕양구,전체,70,29459,0.063
경기도,고양시 덕양구,전체,80,15862,0.034
