약국수,약국명,대표전화,시도,도로명주소,Latitude,Longitude,지번주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
1,21세기약국,054-452-2121,경상북도,"경상북도 구미시 신시로 78, 1층 (송정동)",36.1148971,128.3396211,경상북도 구미시 송정동 27-11번지,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,10:30~23:30,09:00~23:30
2,24시약국,055-642-4006,경상남도,"경상남도 통영시 안개로 9, 102호 (무전동)",34.8576011,128.4294362,경상남도 통영시 무전동 990-9 102호,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,14:00~23:30,
3,365녹십자약국,031-652-3307,경기도,경기도 평택시 중앙로 2 (통복동),37.0016553,127.0879837,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
4,365약국,032-547-0365,인천광역시,"인천광역시 계양구 오조산로 1, 거승프라자 107호 (작전동)",37.5308981,126.7377953,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
5,365약국,031-794-0367,경기도,"경기도 하남시 미사강변중앙로 226, 우성르보아파크 1층 112호 (망월동)",37.7574281,126.7805182,,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~23:00,09:00~23:00,09:00~23:00
6,365열린약국,02-874-2332,서울특별시,서울특별시 관악구 남부순환로 1615 (신림동),37.4845117,126.9300644,서울특별시 관악구 신림동 1422-42,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~23:00,10:00~23:00
7,365열린약국,02-3666-0784,서울특별시,"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 105호 (개봉동)",37.4938656,126.8581879,,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30
8,365열린약국,02-2633-2800,서울특별시,"서울특별시 영등포구 영중로 119, 리마크빌 영등포 2층 204-2호 (영등포동8가)",37.5267921,126.9047058,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
9,365열린약국,02-3661-3650,서울특별시,"서울특별시 강서구 공항대로41길 52, 버들빌딩 1층 (등촌동)",37.5600127,126.8461878,,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,09:00~25:00,09:00~25:00,09:00~25:00
10,365일연향대형약국,061-746-3651,전라남도,"전라남도 순천시 연향3로 11, 1층 1A 4호~6호 (연향동)",34.9510331,127.5171121,전라남도 순천시 연향동 1319-1,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
11,365정화약국,02-935-4869,서울특별시,"서울특별시 노원구 상계로 59, 동익빌딩 1층 7,8호 (상계동)",37.6561445,127.061489,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,13:00~23:00,13:00~23:00
